ApplicantID,Gender,Age,MonthlyIncome,LoanAmount,CreditScore,EmploymentStatus,ExistingLoans,LoanTerm,PropertyArea,LoanApproved
1001,Male,32,52441,389629,620.0,Self-Employed,2,60,Urban,0
1002,Female,36,126966,386199,478.0,Employed,2,24,Rural,0
1003,Male,44,59129,141911,518.0,Unemployed,1,120,Urban,0
1004,Male,39,120252,410762,827.0,Employed,0,24,Urban,1
1005,Male,28,82368,247742,791.0,Self-Employed,1,60,Semi-Urban,1
1006,Female,51,130395,497244,360.0,Unemployed,1,240,Rural,0
1007,Male,41,112122,271094,353.0,Unemployed,4,36,Urban,0
1008,Male,37,64760,426036,837.0,Unemployed,2,12,Semi-Urban,0
1009,Male,43,149655,287723,364.0,Employed,3,12,Semi-Urban,0
1010,Female,57,43478,383272,885.0,Self-Employed,2,36,Semi-Urban,0
1011,Male,36,147881,461324,,Employed,2,180,Rural,0
1012,Male,26,91854,364639,572.0,Unemployed,4,12,Rural,0
1013,Male,28,114230,132806,834.0,Self-Employed,3,360,Semi-Urban,1
1014,Male,45,105716,405329,690.0,Unemployed,0,120,Rural,1
1015,Female,38,32180,257605,626.0,Unemployed,3,180,Rural,0
1016,Male,45,118538,280097,407.0,Employed,0,120,Urban,1
1017,Female,32,35372,495725,461.0,Unemployed,3,60,Semi-Urban,0
1018,Female,35,49796,247478,751.0,Self-Employed,1,360,Semi-Urban,1
1019,Female,46,78272,220591,505.0,Unemployed,3,60,Rural,0
1020,Male,46,138295,361793,889.0,Unemployed,4,180,Semi-Urban,0
1021,Female,52,109963,215596,315.0,Employed,0,180,Semi-Urban,1
1022,Male,30,118826,214957,626.0,Self-Employed,2,360,Semi-Urban,0
1023,Female,36,140592,487585,301.0,Employed,4,360,Rural,0
1024,Female,27,113635,282204,309.0,Unemployed,0,180,Rural,0
1025,Female,37,131022,407546,733.0,Employed,0,180,Rural,1
1026,Female,43,74040,342820,424.0,Employed,2,24,Urban,0
1027,Female,46,95357,376237,380.0,Employed,1,240,Semi-Urban,1
1028,Female,41,91368,490980,784.0,Employed,4,180,Urban,1
1029,Female,42,98356,231871,449.0,Unemployed,2,360,Rural,0
1030,Female,27,36211,391558,639.0,Unemployed,2,240,Urban,0
1031,Male,34,125426,405239,428.0,Self-Employed,1,180,Semi-Urban,1
1032,Male,35,25842,293154,737.0,Employed,4,60,Semi-Urban,0
1033,Female,27,83115,122307,800.0,Employed,2,120,Rural,1
1034,Female,29,86852,407576,357.0,Self-Employed,1,240,Rural,1
1035,Female,28,145737,344067,497.0,Employed,4,60,Urban,0
1036,Male,43,65968,429593,510.0,Self-Employed,3,12,Rural,0
1037,Female,49,37508,285998,344.0,Unemployed,0,360,Urban,0
1038,Male,38,42005,359718,396.0,Self-Employed,1,24,Semi-Urban,0
1039,Male,51,74575,486607,578.0,Employed,0,24,Semi-Urban,1
1040,Male,50,100742,171757,834.0,Self-Employed,3,120,Semi-Urban,1
1041,Male,59,38971,103664,709.0,Unemployed,2,180,Semi-Urban,0
1042,Male,55,45599,379528,760.0,Employed,2,60,Semi-Urban,0
1043,Female,38,107592,343171,690.0,Unemployed,4,12,Urban,0
1044,Female,59,86914,216536,343.0,Unemployed,1,60,Semi-Urban,0
1045,Female,37,138062,346629,326.0,Self-Employed,1,360,Urban,1
